Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
0, 34, 27.47937379792528, 616.3585671564156, 306.32314472087006, 739.018087885657, 217.61501971222708, 231.68065852076447, 203.32473074634404, 263.82582650021936, 865.0408900491872, 300.2662731337693, 228.32758778002992, 857.6118340323728, 830.178996048587, 686.1642628826172, 23.912962457822818, 540.1982697107571, 151.32092587071187, 440.4442143520223, 340.99445070171987, 336.6322698743727, 309.9002012978628, 30.724152176953346, 
1, 110, 22.6516675689333, 686.8204519184156, 225.88178603879783, 695.8819780606192, 548.4401068969119, 353.08362243745046, 244.39815721550858, 247.43427703222227, 672.4304165644041, 270.7054876287559, 505.5745775950872, 872.8053820560423, 251.3725511912883, 617.4580287631402, -33.974921082158744, 516.5452861574678, 225.59715016994681, 443.7944223307245, 364.30106329003434, 226.7303669373352, 108.25584062495753, 78.80588515677829, 
2, 187, 23.96030023955619, 502.053668153221, 99.97129533239513, 681.3009593087256, 506.22173846584684, 259.3109341290236, 260.93713088872227, 240.77864249231573, 717.3613123278373, 281.8155127299763, 418.61993802646, 870.65875156825, 822.6155831058948, 580.2372108355579, 35.32820622824218, 586.0953657873567, -8.415641281634777, 181.71053199400387, 341.5582961695359, -28.34874203475141, -64.96043863633292, 101.44734986053768, 
3, 261, 20.170407815443415, 394.44766784013234, 424.7039880845045, 975.4078063363061, 640.9207557561366, 226.30100506268093, 409.9117197191136, 331.08688600408135, 825.0506685700137, 329.72502835288236, 613.5607363445758, 611.9685614667762, 298.3455847350582, 897.8806082616601, 56.7872684946754, 594.7310617056498, 24.071083272100708, 157.02497883205544, 352.76429884772426, 126.24773349018804, 162.58916470015996, 89.66133208172664, 
4, 355, 19.825654940007237, 264.65907824093205, 291.70503581041567, 932.0451636651771, 609.4399843927133, 279.27004566447096, 463.8997429906443, 263.6478532036978, 815.707916865089, 300.73596624706295, 664.1205154776812, 303.1504248079136, 375.0699511552582, 681.4264609648941, 254.11913481300138, 639.2924661214755, 99.47566193329928, 122.82243016567365, 347.9691282926848, 153.80686435182852, 127.43671055757706, 198.82685495728217, 
5, 453, 18.138063046216566, 144.03568899798947, 251.75565108610516, 243.42691588266018, 676.8282291053899, 471.3837268292169, 438.73058187314837, 276.8099080369192, 673.4190869003031, 150.11327309020993, 795.3354067491691, 425.6548886540203, 384.0130664729133, 712.4620664962181, 245.91597038440645, 180.5380873972918, 180.02530729143484, 45.16566959110767, 339.64728932124575, 181.89689483855724, 173.68408117194372, 454.6215725836545, 
6, 480, 15.343046228443008, 102.51456993751744, 475.87639810419563, 533.8366152822579, 625.9334226446899, 561.8674251707699, 573.0411970554261, 305.8307318013557, 694.4624998637538, 435.33981576674626, 571.1243208202875, 256.0080246909221, 467.8191850186985, 757.6561721487303, 109.64455993534017, 198.45224779579394, 45.170074131023625, 135.12907459636997, 338.7611880933921, 185.83971932274133, 152.93277919879552, 347.3660943985175, 
7, 581, 14.056744198695078, 127.89713531937878, 629.0798843476218, 418.46546375360833, 510.8262727893549, 456.1099251637691, 406.12508409797823, 292.03403849647555, 630.3233397440039, 508.86035585247765, 589.881138569537, 249.42028362866748, 457.12488133175003, 730.6858518338333, 125.08579183382315, 337.7615011181059, 90.74802072839543, 143.40599191054415, 312.04338483399613, 174.0044184478043, 145.20372684313858, 274.81127987577753, 
8, 684, 13.18643545560262, 36.13475358572036, 530.443982187383, 342.73066887494997, 655.817898365606, 317.5326989843039, 498.6949743515, 304.67924770634636, 590.3442857211351, 658.0633078517251, 597.2100576517164, 336.40755838485603, 460.1728464779633, 742.2483644634469, 184.46088831278752, 244.24144352009398, 93.88462249271893, 14.010479090658748, 291.3148704145058, 159.5789839581306, 108.29496783425921, 218.61204721002753, 
9, 777, 12.72401708619901, 108.58612649796831, 565.330726633938, 500.09058628441517, 550.7865450002012, 494.2134892359165, 491.55451569968056, 315.9974230033185, 540.3572117391215, 736.5264103634421, 440.5145342993724, 387.136388605552, 471.0803528305865, 722.3173149079081, 200.140438271325, 301.9298670319614, 62.329149745025646, 40.65631291448574, 279.2439385958384, 124.93417137505125, 130.29931152273346, 235.70656881950976, 
10, 869, 10.739077388935037, 131.5183906478011, 516.729524771838, 401.70035160837597, 557.3777112372866, 461.0520354932153, 454.7110149223622, 434.07157367818104, 643.9833209472541, 652.7810492578304, 460.5139805268192, 691.5973213071159, 360.0533544910064, 701.4788868799579, 81.77466206730875, 349.562327745868, 62.6516265214204, 110.56660172160713, 285.4811091690799, 118.06857200042236, 119.75000156764472, 220.4669782725706, 
11, 927, 10.870823116541375, 120.04636074318739, 548.5467076720824, 478.000953711775, 497.8795163287445, 566.1266205235304, 422.39098911823874, 350.1321846514539, 645.7021491722076, 645.2284685771788, 443.56492398680456, 475.06316159879486, 330.64674676635934, 632.3055897829943, 79.7231348773044, 246.56194718757098, 59.279915773954976, 125.39772059980163, 286.5325676187736, 98.35298720233452, 135.3168142219749, 248.88006410237116, 
12, 983, 9.927997713827082, 166.72147546157316, 353.0596843520508, 492.01414801984816, 440.5916085168959, 583.514337299447, 423.1845536131359, 449.4094091520545, 679.5212774032773, 691.7935023163575, 457.9124596508215, 518.9469309249074, 289.06371588042265, 597.8646464641971, 41.137770401951194, 269.4920023543098, 67.83418404775605, 128.34586705012174, 272.2581323247976, 79.56547497069923, 116.56606483786655, 204.43839946195965, 
13, 1107, 9.417906698978793, 183.3414243886188, 334.9102169751175, 435.94024086627155, 503.6733682859495, 546.8155482162601, 420.8246022376038, 450.4449334494767, 663.7821505435162, 743.5941819497353, 454.9088626936001, 487.60768310592937, 372.8227159253011, 675.2311051691078, 54.462352104662344, 279.41997654772615, 70.22092357039007, 165.1436403965667, 259.72908591240343, 85.91090642320259, 86.29068068578391, 145.67841185530267, 
14, 1182, 8.955880272898828, 149.40641075296213, 398.48538854598513, 451.14056891892506, 416.3832960286342, 567.9780271614895, 392.9128942850872, 381.54079909216574, 679.8109464992204, 689.7501997073321, 476.5546193946551, 537.2876350156541, 297.4931309176641, 545.3051244439156, 83.63799526109192, 261.2317410440729, 83.56051928472274, 191.18366721913512, 237.38117948371018, 77.90396938032266, 72.0320176532684, 166.13608457163872, 
15, 1264, 7.758842239246254, 153.1511828360901, 451.55226696024243, 449.66103781562737, 485.6958047827904, 439.9803272231012, 414.6640513874741, 390.9612710470829, 579.4235902630514, 612.6954980820278, 478.9154852721043, 523.98042950529, 483.565317949284, 595.0550797369174, 113.04811484285932, 185.10468163451054, 88.4614470371819, 186.04694220425887, 236.8907827242197, 79.88200880413353, 74.69246905766059, 211.98236110164757, 
16, 1325, 7.5140129315706625, 161.75592110415894, 362.24738536180865, 450.4480179542432, 469.7336884785856, 458.1434494427606, 408.1904298991673, 452.3189034984168, 618.0230472751983, 538.916055906438, 476.0804134700727, 526.6082503889202, 427.52194603881435, 486.21513051690533, 140.9041512407199, 237.17381566297692, 99.68287251741073, 256.0262583205221, 224.18150750784733, 73.54382332017988, 41.772417249355954, 174.31144097219004, 
17, 1412, 7.154880058856962, 161.32987204618178, 399.9958835334723, 465.59703177341515, 373.2364201074911, 424.58495992634715, 405.2390438322055, 462.1146513701766, 603.3690067458222, 483.7374656807213, 462.5557246676389, 502.85804483443985, 506.3178602232231, 434.46284854687025, 181.17071345269983, 203.29180382160757, 100.46262564882491, 216.9701083772916, 201.60163081643196, 84.10372577010227, 26.410798441396118, 179.76913822466705, 
18, 1505, 6.343216119158925, 165.72266264796073, 423.2305564630019, 460.8790734205601, 459.75653758863, 410.4206028401863, 420.92613750284, 460.0241774995203, 575.6858448633757, 680.7233309053776, 444.3434551280447, 480.9487410693507, 496.81193968108187, 460.86764596312776, 148.83912218501737, 194.37790990106654, 86.94563985169567, 203.1918020273074, 199.42399701380688, 84.0000115429562, 77.13700829583736, 181.33426449442345, 
19, 1593, 5.717341066934627, 295.86727964263105, 392.5944665055964, 480.4684628237363, 386.8919162844653, 421.2728358568054, 423.20518516021656, 469.57888895150603, 572.1739268815898, 592.7377320706925, 473.38538811920995, 484.6964456795523, 491.6141216079311, 418.8944021459606, 136.7615236412925, 199.54183735234147, 73.87709188009444, 191.04215048256282, 187.24465985612534, 79.7155445478688, 110.82469185090324, 147.08891482709808, 
20, 1604, 5.344488639797492, 281.5943109549067, 416.901519693864, 487.5664050621331, 447.03573477730936, 417.1170304816051, 431.8057127284275, 467.7229138476985, 592.0318762639668, 531.9348229144233, 478.490813992551, 474.2757128528143, 506.65377704423815, 372.2223889885345, 127.11860232897597, 212.96132103861976, 101.27022355766529, 168.87483424699641, 180.09757730619873, 80.93338992089981, 135.89892340992768, 139.05960080028615, 
21, 1682, 4.617745572424225, 243.0568367727394, 409.9195050033549, 462.0718478246164, 440.8739764977769, 402.89815220171056, 433.014336912342, 452.9119581344598, 583.2449147224712, 490.56066874531666, 473.14900409492043, 484.69089317131505, 483.767678571652, 426.9830663845184, 148.6918794578072, 164.93116179121824, 143.684189691059, 164.05099662781174, 181.40731943710222, 81.83815911249752, 105.44192903768717, 125.6227506692151, 
22, 1764, 4.470138253970238, 225.0093036085341, 406.523670727105, 474.41663881305095, 420.63185402503507, 406.1457962123212, 427.66338153195966, 474.3445879302083, 584.6359561374863, 539.6127793265226, 489.9409866830449, 467.344260730315, 478.03865032836944, 437.1763514099281, 159.99355195348724, 169.669732905413, 160.5658098797523, 168.5779433604394, 181.33278761369647, 82.79648411534275, 79.33788675734837, 116.29823868603737, 
23, 1902, 4.30365278325016, 233.36618210666379, 402.8132309976357, 485.5971231987036, 465.3069579297673, 429.497750926011, 433.91964973564126, 473.13119298246323, 585.5360806668718, 565.5465095937361, 455.99339612475137, 461.8442275098758, 464.60036043621324, 452.2162451334343, 186.65601666124, 158.19321411231502, 169.92787849543666, 167.75040507757558, 181.3355201021595, 82.65078464884888, 154.63708674001242, 102.76679916779122, 
24, 1968, 3.9369680921717656, 311.62866665897104, 393.67522039584804, 452.37581914373806, 474.0645917023896, 446.28019074289637, 437.0227042717725, 487.50312760995007, 596.1021697096157, 562.1523458364718, 447.8021260728261, 468.66930429940857, 480.0394204921468, 439.6536344649501, 185.46020228678628, 171.67916717563068, 185.39818606237256, 161.31622682960165, 174.0535538082487, 82.98214863499973, 84.32125843214263, 100.08648056363242, 
25, 2078, 3.8046273291000747, 259.9658771959164, 375.43295930719404, 456.4983562352954, 494.8592651453288, 450.1521025680482, 444.71553252522796, 492.66050647376153, 604.1389490488614, 570.7910636662879, 425.1080294288951, 461.62176194374246, 495.350772947577, 444.70951473490055, 198.38279466533044, 158.74977445192945, 180.49864303162937, 155.3072675521305, 172.09219793338292, 83.17403349468727, 104.56276894976754, 104.7412576648494, 
26, 2142, 3.518642771262809, 266.09628044308033, 384.43449782293953, 451.5630256892977, 496.4278717815125, 453.6171419650183, 441.4674817867768, 468.6409290956094, 597.9076041233291, 545.2785527041651, 440.05050139237363, 494.2873601098715, 498.65984308611417, 437.02090774995776, 197.468166512805, 163.9030095306761, 189.53152124362657, 136.82996188247438, 173.09354234425425, 82.92125095123042, 105.23852665753859, 108.90585755839587, 
27, 2228, 3.327878129428382, 322.4520880420735, 379.07249918049246, 456.1567112888699, 492.8933110768187, 469.1815501615704, 448.7649703257041, 500.1174560578575, 596.1598615875469, 541.3543056470216, 449.42019730143016, 496.1090340367157, 508.3050006210521, 424.19376184577635, 184.59058817434249, 160.246534033509, 173.25102349955472, 132.14098011136076, 169.1863436475381, 82.80828298175756, 107.96474833249638, 104.72756792002899, 
28, 2284, 3.247671378456791, 271.19539992771, 383.61211784937126, 454.58004717229346, 484.0095526199125, 455.55265319827987, 448.0814251497765, 491.6877438104687, 594.2760716729717, 545.2014651653251, 460.38834693761703, 510.36932901435983, 522.8013418902577, 413.63280390471476, 180.4482022043814, 159.12135117275747, 170.30358447117737, 119.51930162235914, 173.69419497127467, 83.7994303741459, 114.67256794054694, 114.44293049692239, 
29, 2379, 3.1354499716938173, 270.42969942029725, 394.67224209250935, 460.0409803807761, 465.3426074239039, 466.1726551711537, 448.2696971487133, 478.1722191263193, 585.607168276452, 542.943820708668, 492.7119702666348, 483.2983832651271, 524.4837585501997, 423.2001667177959, 170.73353149096278, 160.863612017818, 169.02784874879305, 112.68637144490923, 172.87068536500263, 84.6898009462078, 112.2485427641429, 110.46449792433195, 
30, 2402, 2.948475680560848, 256.4625587363947, 386.8348545378597, 458.54243894626194, 478.24824021147833, 467.0665825730036, 449.97035393052846, 477.482974296749, 591.1397239956884, 548.8780743284232, 493.8773664885863, 492.0618649301196, 509.6384601011983, 428.6789922380441, 181.43724408413698, 156.7819485199683, 175.72004101239446, 136.23052976102406, 171.2904788634993, 84.93826405804336, 114.1924932604409, 104.49461347539336, 
31, 2503, 2.8863381535808172, 282.7348151176461, 378.9952640934765, 460.16818256124355, 458.43955655967477, 472.4884600993802, 448.6767161799264, 474.2732408155749, 594.3027121911502, 550.9268695875363, 516.7614517054126, 481.9016890969602, 506.3968303855451, 424.48838016604145, 185.84779674160905, 159.73435131425637, 176.47749874567594, 145.96504641264966, 161.00721049036886, 81.92119045918864, 109.78234579786087, 107.47105431093762, 
32, 2615, 2.8188846672112122, 272.88752484952295, 384.4485912647307, 462.59554294498173, 483.971217460882, 463.44950649386493, 446.09887828378385, 481.04125373151845, 592.8846493720991, 554.1047355452919, 500.7328924835682, 486.440938995659, 489.38942433249747, 444.77046716580014, 207.39579761902212, 158.44725584891597, 180.02335092378289, 136.47851070156366, 159.52930666720667, 82.85516719162348, 106.33671699051298, 86.57919109562107, 
33, 2677, 2.7053378564435975, 263.0720432144356, 380.1186679881749, 458.45023621233247, 473.30521551102237, 463.94908343847504, 448.789710988587, 487.22455550089893, 590.8060001334534, 565.3775072790937, 494.566273126534, 486.03946888213073, 493.50999965293573, 442.45449715163386, 191.210358035415, 161.7967454250757, 178.04188860359878, 107.19292603318394, 156.50323089820176, 83.84849946263184, 108.25500155187356, 87.47321378404405, 
34, 2743, 2.5915448046444682, 265.18379055359094, 388.76231644912826, 455.9260106974706, 467.70915655069393, 464.5339159556255, 448.3190114750657, 495.42462933953533, 592.0786315379413, 566.4895326001638, 513.0227175919512, 487.9279812652857, 504.4043024893561, 437.6017180367694, 185.25245276108708, 162.26385005942794, 170.68526499440355, 121.85764449253794, 157.08851388427703, 84.1406895995158, 105.79747636696072, 84.58943563462246, 
35, 2874, 2.5591327548218428, 246.0835120466061, 374.16485216500814, 457.1423222055876, 473.1689073396838, 462.87008882662906, 449.4269075566044, 499.6714280195215, 590.4761384168133, 581.209730770071, 513.5420612768738, 489.7589345885205, 497.76332436975804, 434.7584927545341, 187.9074644439191, 166.01762444607766, 168.44468319949087, 116.61011472558695, 149.71198373429107, 85.72917409718596, 105.47324773390669, 79.43603976320856, 
36, 2902, 2.467584434516072, 271.00845717840804, 370.57234926079053, 455.2610231062576, 471.0412838760293, 463.9730082520386, 451.01899279134307, 502.6299580855101, 591.9263139246946, 575.1998642140792, 510.9887974528298, 506.3656216290864, 497.5603199409815, 436.2100641967034, 181.4954583034639, 166.22072312759946, 163.840823831556, 124.68326644301365, 150.63894448420152, 84.75488748462567, 105.9222173030434, 81.27265818732185, 
