Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
0, 1, 31.279257820075316, 744.407064802059, 47.68190441071174, 652.8624173080952, 803.7046960007744, 658.2505032170214, 500.11312619189505, 899.2464405710155, 777.0137166119896, 609.1105105737546, 625.1286593111874, 543.2484777605041, 319.86646475370685, 538.5232084717376, 420.65996110363335, 6.815206617557967, 982.743652170459, 319.2143004083361, 321.72994912665655, 109.55851653173909, 438.3468846071344, 91.6050708851418, 
1, 149, 25.398972207883173, 730.2718534561959, -43.513908364327676, 719.4905899659694, 817.0063445204826, 670.4106714142412, 433.48943849191625, 708.3364450884816, 788.8598336003914, 800.851924039163, 612.3978160892459, 519.0807497574956, 326.91257742264617, 637.9271822086387, 412.2403674677271, 25.13597518602249, 260.28399993107155, 292.6411250037187, 271.1295852619013, 101.47959656466467, 498.1619713386278, 45.254092730735, 
2, 180, 24.09582091408442, 736.7695124074335, 171.78569423513665, 759.1702116332345, 902.084988115555, 649.7357646434727, 547.5482885676404, 1173.5179399079645, 790.1477750913588, 838.086737351917, 706.5356878666283, 483.362372668205, 383.08909352031884, 80.41851728934591, 365.95942671566524, 125.97069211381057, 280.40984526896784, 128.62489503032162, 158.689968960879, 101.27043088702439, 465.2798689978419, -0.6122424400578268, 
3, 293, 22.252462827517036, 704.5232934067826, 267.197266985361, 755.8433446464614, 886.7285192557162, 612.8446398420533, 625.9931136057365, 994.8159415266323, 734.5494667095227, 793.7197284432307, 511.5501735621017, 533.3660152911754, 352.5755314377767, 588.1063700461242, 323.1799196688903, -26.75929227538768, 442.0583415152123, 21.84198756272474, 141.47295549577382, 146.58354006320502, 413.80253542559814, 183.31236950737696, 
4, 355, 21.582909077980354, 424.92544836813136, 414.5316269861119, 810.1690303045407, 873.234487285167, 841.525885708432, 854.0276453349583, 1170.2739028277065, 777.7996886413748, 849.6251822124407, 566.0386797849321, 506.3782038932984, 574.8994841817763, 539.3974810686121, 264.9971865047673, 7.060535234198937, 264.9782861097267, 179.5576617779339, 176.78888674034047, 113.0001551532295, 258.9904361550666, 4.112192278393394, 
5, 432, 18.213292824366924, 334.7349360276994, 524.6739689283999, 734.9446599596511, 928.9078329346366, 620.3210321606857, 638.7962766990702, 1263.468631775233, 752.6778142364865, 892.8387429334073, 482.31183888609655, 472.21437264994245, 302.44180254488265, 585.9608979534273, 190.131876141727, 100.8844998286495, 232.65285806073382, 89.10960289540233, 104.78787905385651, 129.91668444671632, 100.19365066218984, 100.12022527742855, 
6, 495, 19.677638736849314, 403.924963153271, 625.2284540283682, 638.2122875912485, 941.3165508698062, 664.3880128129739, 573.2398511293134, 834.4548942630142, 749.8090382551436, 1129.2872075312498, 553.5007699118628, 494.7291160316272, 604.8530606704662, 377.6351694591066, 146.36417771561915, 200.95509161037955, 153.30106319406417, 176.77839974628145, 297.1361880071865, 104.64769263030853, 281.9585490142024, -161.2381683190804, 
7, 600, 17.789727453948952, 284.66676413033554, 720.2487796613548, 584.9864918627262, 1021.5789821501888, 552.1939877379883, 537.2784899783221, 1021.4516319557865, 775.5023919315722, 991.8030019629458, 560.0480943246932, 491.8209880079193, 365.1215053384219, 487.86433049769516, 73.03385883257562, 274.87980850668293, 43.871753650388314, 240.74235973034894, 164.22528507325165, 95.61974948678909, 221.55737888331186, -37.50514969858001, 
8, 699, 16.76146685763879, 290.9588681194605, 537.4889858065861, 481.09187445261716, 1051.5288428722824, 476.2598265722223, 427.4057709399751, 841.7438609731329, 800.9195165621375, 1034.2227707445638, 561.3471096679931, 510.0462057720911, 610.107857478555, 407.2208223704894, 106.39390359688308, 291.6257582849453, -16.643701876291345, 149.90349446632158, 106.67100903757941, 54.307823465879245, 294.7631434664251, -95.7040255872067, 
9, 760, 15.722858169797805, 291.2693735288169, 486.8215531627092, 487.44912784255223, 1015.778084609844, 471.3982245530439, 460.84247598509614, 886.1229392571071, 797.106728013016, 966.4429447579689, 586.1614483200444, 510.93021587700866, 590.1388102598746, 428.89178021900216, 94.90430385047827, 211.18989749359258, 104.69586759147447, 170.8805815486838, 102.66886895449329, 60.48935937316537, 312.7035387972831, -117.45471390376728, 
10, 801, 14.504612136598746, 375.95764322617333, 629.1617362324284, 503.06127134563127, 992.5338039133579, 474.1799512489943, 447.86913972598336, 862.3761972163928, 817.38969720955, 922.1827911836908, 623.281330295627, 491.66144467517876, 484.8575131345277, 394.51605649924494, 120.22371634035608, 211.12681991825156, 132.94517331031437, 181.8588804358853, 111.75702171947697, 62.994064405389665, 207.93200967989623, -29.308084787823148, 
11, 944, 13.434144464396214, 248.09771285244761, 597.0990127318, 488.9298006678341, 1023.9501738451444, 453.545026737756, 426.0041422398236, 881.1269207489053, 796.9634099770033, 805.9945507070612, 607.7709045985814, 492.70606072589413, 494.05071583534726, 432.5547229471284, 136.98992007539943, 150.911717408018, 164.64355467017617, 124.04973898602037, 90.09563262146423, 44.964759054357145, 186.55199255339437, -58.234450198672995, 
12, 967, 12.462888619837369, 303.4514842641369, 744.8879021639789, 481.6680214352689, 853.2506167749451, 473.6188893005749, 452.3726257616145, 893.4678173349309, 734.3944517508991, 774.4630025026743, 627.5087982018691, 482.1559247254089, 500.45872375085935, 314.21215853053207, 128.34203903631962, 140.58745777759563, 129.36694069569194, 128.0579279774498, 211.9789562670315, 41.82456470977776, 118.01667355933485, 121.94660786997352, 
13, 1087, 11.949380357913913, 267.0471876684277, 650.6926053137627, 458.9508577588375, 929.2350797077606, 428.5283381973119, 463.5958792366877, 855.2182176488931, 719.8319140298136, 687.7667047250867, 628.123775215956, 484.7060084562758, 589.5127154270978, 294.5735625210051, 154.88259456837636, 124.45322806792757, 172.18096059475977, 130.93696781909944, 174.7818658444682, 27.598340822526623, 67.93933529607843, 113.25657584707469, 
14, 1180, 10.781080855861497, 287.69151153296565, 637.6846989562443, 402.3214700133167, 709.5441631442266, 466.50446438845745, 450.6933461802099, 840.6829647245366, 686.2056264495209, 613.8161525430943, 632.2761525992418, 496.9886941659809, 641.8069287467206, 385.48936338129585, 150.28249296110445, 174.63405722110886, 126.93332972666815, 118.52502300341794, 193.5587298372106, 30.74463021046561, 158.8054154264153, 178.4776450885437, 
15, 1215, 9.726528231462721, 216.05458561653518, 549.7696350913848, 442.41238909473475, 697.915568080619, 463.42077482026934, 459.36251099818924, 570.580691649993, 659.4462852040441, 552.5567588914909, 629.6789576596392, 504.4763896177177, 664.3493575652592, 264.4519491672404, 172.62415675302844, 162.07491345365773, 185.12953465874938, 113.6927444238767, 207.214427311866, 27.083677343574827, 155.6743112821443, 144.87799481718142, 
16, 1357, 9.024247856688, 231.65344070254295, 534.7464181932363, 460.2380913229288, 705.347159339735, 482.0434097990384, 457.96773829971755, 459.6573768027603, 641.7335869602258, 540.7410145149909, 640.3661739874636, 495.66309953712863, 667.40958427223, 330.55391201385913, 172.14154451372272, 137.63482392337926, 169.2594695584982, 117.40520541279894, 178.85111692185376, 30.308990141442457, 207.31415984197469, 48.91441554610877, 
17, 1408, 8.464039149699317, 193.26752529990804, 499.14929625391244, 511.3500271130767, 684.9617448839324, 542.9361922433392, 450.3136863835545, 422.1367336091316, 651.965857456311, 543.7169637713679, 623.3849480455985, 497.61021515046093, 642.8265015091434, 297.56294601168435, 173.87768327280273, 133.5926182069615, 151.1448484150955, 91.55783147104212, 174.895229396127, 30.428822584407023, 170.81785561746838, 30.719708506111786, 
18, 1480, 7.796774848666692, 212.59273098528337, 523.3392917091734, 482.7275202704549, 643.460211059685, 445.87995267053117, 445.8509670358712, 465.1503927409259, 646.9373209874648, 607.6949908980093, 624.0609021004666, 498.5723894105151, 636.8294511430577, 234.9202122969263, 167.49763602194736, 143.25357991878082, 104.30424562624572, 87.86029839217298, 153.1666966773186, 30.302313167220568, 131.96453236121704, 41.10414238731456, 
19, 1534, 6.935625546836039, 200.8078885467269, 566.9557458307393, 506.64787482691014, 693.7524518804958, 439.5516625385469, 442.47802089869526, 540.1225126763743, 648.5096871518675, 603.9094459523881, 627.163382015469, 490.5148817637553, 521.6369828849034, 380.0492503379099, 160.75769153822296, 127.3751522544795, 119.37521936976249, 96.62103071901844, 165.18154888973135, 32.420309743019125, 132.2724061932402, 55.42432855455196, 
20, 1601, 6.655171368974774, 215.7252165565912, 582.8773089084096, 507.48765023799706, 696.0425843738622, 447.1837727006296, 433.6030832722247, 565.000055989468, 627.3905834774592, 652.4652341861939, 621.1906690128302, 487.44429526845596, 526.005351836397, 359.11575405603776, 154.5446296726716, 132.89437708034347, 113.967044212459, 96.18275743695449, 105.82340175088353, 36.037495569711034, 139.07054278994275, 40.52571096746016, 
21, 1741, 6.194556732768719, 228.95388421941615, 580.4087885230203, 515.2104986232993, 594.920585896833, 407.88065235127095, 431.93381821153525, 522.6910218260832, 634.1418121413267, 662.5790909619891, 618.2301495178141, 485.4249242098073, 462.2420121889592, 377.8522836367621, 143.87851267511724, 123.05051394393476, 98.48945509049219, 96.85240739601062, 106.8155095655878, 35.0977430773825, 115.13066010112956, 106.08866843358987, 
22, 1789, 5.810206183770179, 247.452294696857, 556.8448109397484, 520.1578294466605, 575.1317199658953, 419.93635850720807, 434.8295543642671, 537.0406376287535, 636.4456961151343, 513.3762629558604, 619.8985972067004, 479.208439936021, 471.5634405627679, 378.5946617701609, 145.92617545341565, 123.320926701887, 109.24116524192127, 105.63951684892314, 103.8192380635913, 33.752234350125455, 125.377098254644, 11.500985776658162, 
23, 1900, 5.456336806975449, 261.25281421942293, 521.1633513902203, 516.5391582977727, 528.9239900225507, 431.39046960038723, 435.23210628880753, 570.0576661282071, 643.2043566094474, 578.516619098848, 616.7245228392516, 487.7949656295567, 481.40584947566373, 346.67587344840587, 143.4146949267052, 124.69525614678507, 121.71126625698471, 103.88601426086328, 104.79860841080517, 31.662663034185897, 142.8260591139428, 50.29429942934084, 
24, 1980, 5.4892721453637074, 273.17406563071444, 506.4685444874209, 514.6520069135453, 507.4428760099228, 437.0528825539845, 437.2677226324913, 559.0992830660806, 646.761390294121, 551.4907875041331, 614.4101989341323, 487.6495784507365, 490.4098362472454, 323.8881900943987, 143.27411481301755, 116.71864714932448, 125.17974190960004, 110.2098029856951, 95.29384625792162, 30.63135605055804, 140.0478056855537, 31.591334112310065, 
25, 2004, 5.1091008674950915, 264.3823785274748, 471.6708040891862, 529.8464023357219, 496.6865813853841, 441.6237879181678, 435.85129195712807, 552.8684885251577, 640.214957753033, 575.53372353445, 618.9794498990026, 487.6636067993211, 514.2056032385276, 401.49669170745995, 138.22412989963092, 114.4035319725048, 116.71616297391591, 107.06000293364723, 96.13111041224762, 36.21564967194384, 138.05056639513222, 36.859026743575185, 
26, 2086, 4.991669619639797, 269.76973324869994, 482.8981402392659, 522.01889792233, 500.5611813227979, 432.4522337127473, 438.3280496453157, 559.7042011911777, 634.6355299009917, 557.3728030498467, 615.1357837039474, 485.93259892966967, 500.78164687493353, 399.875551189371, 135.96123767584368, 115.01454795821715, 102.55532772089421, 102.79177701801235, 94.3853501987403, 37.661568497630654, 127.57193039486394, 55.469502884299956, 
27, 2206, 4.847725332276289, 278.9643087175859, 479.4827847208759, 536.9614684614234, 529.547993606272, 441.3449793931454, 442.2369919590242, 552.946903868591, 631.0765052451638, 618.3115701142534, 615.477966728924, 487.8076427257813, 520.200855563667, 374.78114358599817, 134.11416059188744, 104.20517124359331, 91.29922666969978, 99.84266733673184, 96.928704261228, 39.6835270029097, 118.39659035755182, 42.65357158095614, 
28, 2272, 4.6724952013570205, 287.12869886618097, 476.9209311172193, 542.0584437469458, 518.8666421342153, 446.1112355692405, 443.3295438718729, 569.1583754434638, 626.8887088513309, 601.3343945479015, 616.4823384667523, 487.62427593546994, 513.6900797055365, 385.99205815715334, 122.54534863341998, 107.63536123034343, 87.02939322471582, 93.88984360564444, 83.93828393425277, 46.19586468464374, 111.85722808856718, 91.47003136355234, 
