Title=Heatflux
Variables = Time[s], Altitude[km], Heatflux[W/m2]
Zone T="Case"
  0.0000000000000000E+00  2.0000000000000000E+02  7.1265630049483968E+02
  5.0000000000000000E+03  2.0000000000000000E+02  1.0110777219853730E+02
  1.0000000000000000E+04  2.0000000000000000E+02  1.6667316748189137E+01
  1.5000000000000000E+04  2.0000000000000000E+02  3.6895928507405813E+01
  2.0000000000000000E+04  2.0000000000000000E+02 -5.4846916938885875E+02
  2.5000000000000000E+04  2.0000000000000000E+02  3.7606996082073169E+02
  3.0000000000000000E+04  2.0000000000000000E+02  3.9328503492156960E+02
  3.5000000000000000E+04  2.0000000000000000E+02  4.5077861576847340E+01
  4.0000000000000000E+04  2.0000000000000000E+02  2.0455687607766629E+02
  4.5000000000000000E+04  2.0000000000000000E+02  9.3257536894544592E+02
  5.0000000000000000E+04  2.0000000000000000E+02  9.7528773416311776E+02
  5.5000000000000000E+04  2.0000000000000000E+02 -1.8984048065923173E+02
  6.0000000000000000E+04  2.0000000000000000E+02  1.2064163867011298E+03
  6.5000000000000000E+04  2.0000000000000000E+02  1.8089013807818249E+03
  7.0000000000000000E+04  2.0000000000000000E+02  1.9843510414658817E+03
  7.5000000000000000E+04  2.0000000000000000E+02  7.7832750265949039E+02
  8.0000000000000000E+04  2.0000000000000000E+02  1.3858325918522169E+03
  8.5000000000000000E+04  2.0000000000000000E+02  9.5486909513135879E+02
  9.0000000000000000E+04  2.0000000000000000E+02  1.2843301530743599E+03
  9.5000000000000000E+04  2.0000000000000000E+02  4.7726292555652407E+02
  1.0000000000000000E+05  2.0000000000000000E+02  1.5838014637593790E+03
