VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  
          0,           0,          99,      -5.174018275,      -2.656553765,      -2.701427166,      0.2371441015,       3.454079247,   3.618541136e-08,                 0,                 0,                 0,  -1.645756936e-11,       3.454079247,   3.618541136e-08,                 0,   1.047613815e-08,     0.08880755887,      -2.665811488,      -2.184789508,      -1.846334048,      -2.746647358
          1,           0,          99,      -4.188806069,      -1.612322041,      -1.775484047,       1.254508992,       2.096325114,  -0.0005367843442,                 0,                 0,                 0,   1.388416097e-08,       2.096325114,  -0.0005367843442,                 0,  -0.0002560596829,       1.765010463,     -0.6050494876,     -0.5206127327,      -0.716880666,     -0.5890665217
          2,           0,          99,      -4.291495353,      -1.946237431,      -1.961663993,       1.170684891,       1.834795346,  -0.0009981249295,                 0,                 0,                 0,    1.05581277e-07,       1.834795346,  -0.0009981249295,                 0,  -0.0005439979624,       2.171670655,     -0.7146466106,     -0.8201002917,     -0.9037242994,     -0.6614835974
          3,           0,          99,      -4.813715861,      -2.241522786,      -2.456354132,       0.619602918,       1.791679756,  -0.0005267438906,                 0,                 0,                 0,   7.850642456e-07,       1.791679756,  -0.0005267438906,                 0,  -0.0002939944422,       1.760352988,      -1.266131423,      -1.180749188,      -1.355579013,       -1.24270105
          4,           0,          99,       -5.34555214,      -2.755787081,      -2.912849642,     0.05571514504,       1.655111782,  -0.0004093254324,                 0,                 0,                 0,   2.446554003e-07,       1.655111782,  -0.0004093254324,                 0,  -0.0002473098414,       1.368686981,       -1.83451778,      -1.707653158,      -1.807036912,      -1.835118626
          5,           0,          99,      -5.775237863,      -2.848614698,      -3.144728304,     -0.3315165274,       1.374962482,  -6.068083714e-05,                 0,                 0,                 0,   -3.44337046e-07,       1.374962482,  -6.068083714e-05,                 0,  -4.413272211e-05,       1.101568106,      -2.272399033,      -1.763005983,      -2.033482988,      -2.223406585
          6,           0,          99,      -5.931230592,      -3.251799135,      -3.376650033,     -0.5252830735,       1.149647883,   0.0004614780265,                 0,                 0,                 0,  -2.344601915e-07,       1.149647883,   0.0004614780265,                 0,   0.0004014081473,       1.566130144,       -2.39677563,      -2.111314635,      -2.244061189,        -2.3809332
          7,           0,          99,      -5.839851132,      -2.872544757,      -3.220266576,     -0.3779335051,        1.08067044,    0.000975631176,                 0,                 0,                 0,   2.391952078e-07,        1.08067044,    0.000975631176,                 0,    0.000902801761,        1.53699541,      -2.221298588,      -1.665629805,      -2.017443951,      -2.148042541
          8,           0,          99,      -5.774260903,      -2.965721711,      -3.152126433,     -0.3428754923,       1.108383161,    0.001466191014,                 0,                 0,                 0,   5.047010102e-07,       1.108383161,    0.001466191014,                 0,     0.00132281964,       1.054620141,      -2.042572074,      -1.680183882,      -1.852884044,      -1.999780433
          9,           0,          99,       -5.43094034,      -2.640141804,        -2.7939275,   -0.006265912603,       1.109528262,    0.001966254783,                 0,                 0,                 0,   3.995879002e-07,       1.109528262,    0.001966254783,                 0,    0.001772153851,      0.8908617797,      -1.633968258,      -1.292999902,       -1.42675463,      -1.597202189
