VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  
          0,           0,          99,      -2.792584819,     -0.4898152761,     -0.5909966966,       2.823536143,       3.028065452,  -4.822006358e-08,                 0,                 0,                 0,  -8.481960001e-11,       3.028065452,  -4.822006358e-08,                 0,  -1.592437956e-08,     0.08880755887,     -0.6823198039,      -0.983453067,     -0.5572855168,     -0.6892666599
          1,           0,          99,      -4.165052252,      -1.781550173,      -1.631806137,       1.313313114,       2.683819737,   2.037328924e-08,                 0,                 0,                 0,   2.962597598e-09,       2.683819737,   2.037328924e-08,                 0,   7.591154116e-09,     0.08723609025,      -1.494520393,        -1.5822267,      -1.306785318,      -1.643279295
          2,           0,          99,       -4.19385049,      -1.606010703,       -1.38219761,       1.375881363,       2.490118322,  -7.525906309e-08,                 0,                 0,                 0,   3.406095356e-09,       2.490118322,  -7.525906309e-08,                 0,  -3.022308716e-08,     0.08723609025,      -1.490073586,      -1.450249317,      -1.127159782,      -1.500132964
          3,           0,          99,      -4.593085019,      -1.872895121,      -1.875385868,      0.9946313483,       2.352082998,  -1.100296647e-08,                 0,                 0,                 0,   2.014748751e-09,       2.352082998,  -1.100296647e-08,                 0,  -4.677966928e-09,      0.7290735951,      -1.984842988,      -1.790639679,      -1.742421266,      -1.969841284
          4,           0,          99,      -4.564451312,      -1.651313938,      -1.905443847,       1.155412943,       2.261058707,   2.091939609e-09,                 0,                 0,                 0,  -5.049986585e-10,       2.261058707,   2.091939609e-09,                 0,   9.252035793e-10,       1.131280382,      -2.034541051,      -1.609303072,        -1.8605076,       -1.88139514
          5,           0,          99,      -5.177891209,      -2.306846422,      -2.659633694,      0.4649654198,       2.191310361,  -9.354891091e-09,                 0,                 0,                 0,   -2.67047195e-09,       2.191310361,  -9.354891091e-09,                 0,   -4.26908541e-09,       1.342235955,      -2.705364023,       -2.29577901,      -2.677932678,      -2.625251388
          6,           0,          99,      -5.241867812,      -2.365459455,      -2.799942781,      0.3891531529,       2.137338599,   7.265621899e-09,                 0,                 0,                 0,  -1.649547444e-09,       2.137338599,   7.265621899e-09,                 0,    3.39937804e-09,       1.334252425,      -2.812679813,      -2.384459903,      -2.865095515,      -2.743090889
          7,           0,          99,      -5.191787224,      -2.282974581,      -2.787207987,       0.457778705,       2.087109547,  -5.787358111e-09,                 0,                 0,                 0,   1.535361223e-10,       2.087109547,  -5.787358111e-09,                 0,  -2.772905773e-09,      0.8728505863,      -2.795063598,      -2.330732537,      -2.886376848,      -2.706841699
          8,           0,          99,      -5.160375921,      -2.211136077,      -2.822876875,      0.5257085374,        2.03483862,  -1.498687179e-07,                 0,                 0,                 0,   1.183759651e-09,        2.03483862,  -1.498687179e-07,                 0,  -7.365140233e-08,      0.9178277707,       -2.78757414,      -2.278918003,      -2.947438331,      -2.662987145
          9,           0,          99,      -5.274421023,      -2.363162463,      -3.004038146,      0.3744832091,       1.986399012,   -3.22221868e-07,                 0,                 0,                 0,   6.074023135e-10,       1.986399012,   -3.22221868e-07,                 0,  -1.622140698e-07,      0.9353043577,       -2.92005192,      -2.447352894,      -3.148210091,      -2.832359053
         10,           0,          99,      -5.419930834,      -2.563227312,      -3.198318292,      0.1756230597,       1.953452351,   -4.72112392e-07,                 0,                 0,                 0,   1.141831104e-09,       1.953452351,   -4.72112392e-07,                 0,  -2.416810381e-07,      0.9426404761,      -3.081325193,      -2.671779913,      -3.357709428,      -3.047266176
         11,           0,          99,      -5.631125529,      -3.046291713,      -3.540885948,     -0.2910595588,       1.939138196,  -5.565653906e-07,                 0,                 0,                 0,   1.657140047e-09,       1.939138196,  -5.565653906e-07,                 0,  -2.870168779e-07,      0.9181520995,      -3.304157245,      -3.179278787,      -3.711941154,      -3.526177071
